Label,Name,SAMPLE_2_10,SAMPLE_2_2,SAMPLE_2_3,SAMPLE_2_4,SAMPLE_2_5,SAMPLE_2_6,SAMPLE_2_7,SAMPLE_2_8,SAMPLE_2_9,SAMPLE_3_10,SAMPLE_3_2,SAMPLE_3_3,SAMPLE_3_4,SAMPLE_3_5,SAMPLE_3_6,SAMPLE_3_7,SAMPLE_3_8,SAMPLE_3_9,SAMPLE_4_10,SAMPLE_4_2,SAMPLE_4_3,SAMPLE_4_4,SAMPLE_4_5,SAMPLE_4_6,Formula
C13-label-1,L-Leucine,741061.4,452495.5,335560.4,426141.8,757274.3,711336.2,774764.7,254826.1,389024.9,505959.9,396605.2,198386,208979.4,737106.6,970442.3,860158.2,385247,408496.3,646632.1,181013.2,249613.3,818406.5,721305.8,751172.8,C6H13NO2
C13-label-2,L-Leucine,40299.32,22643.32,15044.61,19777.67,48244.27,33839.49,51337.41,16242.61,22825.24,32905.25,21368.13,12974.23,9809.935,49177.03,58151.89,46907.92,18951.83,22623.1,43403.86,7400.983,7092.432,58406.36,43357.18,56492.8,C6H13NO2
C13-label-3,L-Leucine,0,0,2275.128,0,0,0,0,0,0,0,0,0,0,0,1903.81,0,0,0,0,0,0,0,0,0,C6H13NO2
C13-label-4,L-Leucine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120.877,0,0,0,0,0,C6H13NO2
C13-label-5,L-Leucine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C6H13NO2
C13-label-6,L-Leucine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C6H13NO2
C12 PARENT,L-Asparagine,1939928,1143338,1260931,1074921,3318253,3107314,2922348,911674.2,1217232,1337389,1018248,639509.8,619768.8,2933735,3402566,3367219,1205894,1266937,1491394,485422.2,771917.1,2176880,3065193,3201641,C4H8N2O3
C13-label-1,L-Asparagine,81908.38,45375.54,65526.86,44339.84,128079.9,162140.4,134802.8,39902.96,53088.02,66927.43,43386.19,21632.73,21454.64,145636,166479.6,150495.2,57062.42,49283.97,61470,17769.43,28652.7,82626.76,118883.6,126228.4,C4H8N2O3
C13-label-2,L-Asparagine,8665.765,0,8295.953,2722.018,19457.47,24206.12,21534.61,4327.175,8113.902,3770.368,0,2822.721,3053.401,6309.512,9274.724,11776.8,3444.674,8555.578,4552.578,0,0,0,5164.6,19408.51,C4H8N2O3
C13-label-3,L-Asparagine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C4H8N2O3
C13-label-4,L-Asparagine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7799.205,0,0,0,7173.897,5236.319,C4H8N2O3
C12 PARENT,Ornithine,330805.5,287611.8,425962.1,316420.9,448139,350634.1,414381,152850.3,251964,311598,269918.2,162926.8,200150.5,413920.3,347639,364075,338672.4,221435,312697,144592.3,200949,436500.8,340470.8,380063,C5H12N2O2
C13-label-1,Ornithine,0,0,12182.48,10772.04,12037.46,0,0,0,0,12440.34,9388.823,0,0,0,0,15359.1,11236.77,0,0,0,0,17509.3,0,0,C5H12N2O2
C13-label-2,Ornithine,0,0,0,14531.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H12N2O2
C13-label-3,Ornithine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H12N2O2
C13-label-4,Ornithine,0,0,0,0,0,0,0,0,0,12722.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H12N2O2
C13-label-5,Ornithine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H12N2O2
C12 PARENT,L-Aspartic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C4H7NO4
C13-label-1,L-Aspartic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C4H7NO4
