Component Name,Formula,Unlabeled Fragment,Isotopic Tracer,Parent Formula,Isotopologue,Metab
Glucose 179/179,C6H11O6,Glucose 179/179,C13,C6H11O6,M+0,Glucose
Glucose 179/89,C3H5O3,Glucose 179/89,C13,C6H11O6,M+0,Glucose
Alanine 91/91,C3H8NO2,Alanine 91/91,C13,C3H8NO2,M+1,Alanine 
Alanine 92/92,C3H8NO2,Alanine 92/92,C13,C3H8NO2,M+2,Alanine 
Alanine 93/93,C3H8NO2,Alanine 93/93,C13,C3H8NO2,M+3,Alanine 
Alanine 90/90,C3H8NO2,Alanine 90/90,C13,C3H8NO2,M+0,Alanine 
Urea 61/61,CH4N2O,Urea 61/61,C13,CH4N2O,M+0,Urea
Urea 62/62,CH4N2O,Urea 61/61,C13,CH4N2O,M+1,Urea
Carbamoyl Phosphate 140/79,PO3,Carbamoyl Phosphate 140/79,C13,CH2NO5P,M+0,Carbamoyl Phosphate
Carbamoyl Phosphate 141/79,PO3,Carbamoyl Phosphate 140/79,C13,CH2NO5P,M+1,Carbamoyl Phosphate
