,Name,Label,Formula,Sample,Intensity_x,Unlabeled Fragment,NA Corrected,Intensity_y,NA Corrected with zero,Pool_total,Fractional enrichment
0,glutathione disulfide,C12 PARENT,C20H32N6O12S2,N15_50_140k_A,16085.53,glutathione disulfide,23380.202175763254,16085.53,23380.202175763254,2046799.9694289872,0.011422807565453415
1,glutathione disulfide,N15-label-1,C20H32N6O12S2,N15_50_140k_A,76741.95,glutathione disulfide,105021.96185406603,76741.95,105021.96185406603,2046799.9694289872,0.05131032021823065
2,glutathione disulfide,N15-label-2,C20H32N6O12S2,N15_50_140k_A,283352.8,glutathione disulfide,378328.5323043565,283352.8,378328.5323043565,2046799.9694289872,0.1848390355457656
3,glutathione disulfide,N15-label-3,C20H32N6O12S2,N15_50_140k_A,571908.3,glutathione disulfide,709945.3850076577,571908.3,709945.3850076577,2046799.9694289872,0.3468562612914818
4,glutathione disulfide,N15-label-4,C20H32N6O12S2,N15_50_140k_A,602110.1,glutathione disulfide,626254.0160020238,602110.1,626254.0160020238,2046799.9694289872,0.30596737607766095
5,glutathione disulfide,N15-label-5,C20H32N6O12S2,N15_50_140k_A,331400.5,glutathione disulfide,203869.8720851197,331400.5,203869.8720851197,2046799.9694289872,0.09960419930140754
6,glutathione disulfide,N15-label-6,C20H32N6O12S2,N15_50_140k_A,100732.9,glutathione disulfide,-19653.089879393105,100732.9,0.0,2046799.9694289872,0.0
