,Component Name,Sample,Intensity,Cohort Name,Formula,Name,Parent Formula,Isotopologue,Metab,Sample Number,Replicate,Background Sample,Label,frag_keys,Background Corrected,Background Corrected with zero,NA Corrected,NA Corrected with zero,Pool_total,Fractional enrichment
11,Malate 134/116,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148,18800,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+1,Malate,148,2,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148,C13_134.0_116.0,"MultiquantKey(name='Malate 134/116', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",12388.0,12388.0,412.92,412.92,291800.51999999996,0.0014150762993842508
12,Malate 135/117,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148,3600,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+2,Malate,148,2,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148,C13_135.0_117.0,"MultiquantKey(name='Malate 135/117', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",81.0,81.0,-329.72,0.0,291800.51999999996,0.0
13,Malate 136/118,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148,401,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+3,Malate,148,2,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148,C13_136.0_118.0,"MultiquantKey(name='Malate 136/118', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",-199.0,0.0,-203.01,0.0,291800.51999999996,0.0
14,Malate 137/119,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148,67,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+4,Malate,148,2,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148,C13_137.0_119.0,"MultiquantKey(name='Malate 137/119', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",-199.0,0.0,-196.79,0.0,291800.51999999996,0.0
15,Malate 133/115,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min8 | Sample Number = 154,200000,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+0,Malate,154,2,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148,C13_133.0_115.0,"MultiquantKey(name='Malate 133/115', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",200000.0,200000.0,208880.0,208880.0,500603.0,0.41725678831329416
16,Malate 134/116,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min8 | Sample Number = 154,36300,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+1,Malate,154,2,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148,C13_134.0_116.0,"MultiquantKey(name='Malate 134/116', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",29888.0,29888.0,22003.27,22003.27,500603.0,0.04395353204035933
17,Malate 135/117,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min8 | Sample Number = 154,116000,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+2,Malate,154,2,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148,C13_135.0_117.0,"MultiquantKey(name='Malate 135/117', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",112481.0,112481.0,113982.81,113982.81,500603.0,0.22769102462430307
18,Malate 136/118,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min8 | Sample Number = 154,119000,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+3,Malate,154,2,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148,C13_136.0_118.0,"MultiquantKey(name='Malate 136/118', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",118400.0,118400.0,117217.16,117217.16,500603.0,0.2341519327690805
19,Malate 137/119,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min8 | Sample Number = 154,40100,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+4,Malate,154,2,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148,C13_137.0_119.0,"MultiquantKey(name='Malate 137/119', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",39834.0,39834.0,38519.76,38519.76,500603.0,0.07694672225296294
20,Malate 133/115,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156,304000,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+0,Malate,156,3,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156,C13_133.0_115.0,"MultiquantKey(name='Malate 133/115', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",304000.0,304000.0,317497.6,317497.6,317497.6,1.0
