Label,Name,SAMPLE_2_10,SAMPLE_2_2,SAMPLE_2_3,SAMPLE_2_4,SAMPLE_2_5,SAMPLE_2_6,SAMPLE_2_7,SAMPLE_2_8,SAMPLE_2_9,SAMPLE_3_10,SAMPLE_3_2,SAMPLE_3_3,SAMPLE_3_4,SAMPLE_3_5,SAMPLE_3_6,SAMPLE_3_7,SAMPLE_3_8,SAMPLE_3_9,SAMPLE_4_10,SAMPLE_4_2,SAMPLE_4_3,SAMPLE_4_4,SAMPLE_4_5,SAMPLE_4_6,Formula
C13-label-3,Creatinine,0.0,0.0,2362.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.206,0.0,0.0,2927.476,2075.456,C4H7N3O
C13-label-4,Creatinine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C4H7N3O
N15-label-1,Creatinine,0.0,0.0,0.0,0.0,4590.474,2477.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2628.992,3156.933,5153.69,0.0,0.0,0.0,0.0,0.0,0.0,6847.13,10219.62,C4H7N3O
N15-label-2,Creatinine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C4H7N3O
N15-label-3,Creatinine,0.0,0.0,0.0,0.0,26467.5,26860.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25873.71,21052.85,22328.51,0.0,0.0,0.0,0.0,23671.29,0.0,0.0,29538.83,C4H7N3O
C13N15-label-1-1,Creatinine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2241.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C4H7N3O
C13N15-label-1-2,Creatinine,0.0,0.0,0.0,0.0,0.0,3025.049,0.0,0.0,0.0,2757.528,0.0,1990.283,0.0,0.0,2386.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3172.384,0.0,C4H7N3O
C13N15-label-1-3,Creatinine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2386.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C4H7N3O
C13N15-label-2-1,Creatinine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C4H7N3O
C13N15-label-2-2,Creatinine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C4H7N3O
