Component Name,Formula,Unlabeled Fragment,Isotopic Tracer,Parent Formula,Isotopologue,Metab
Succinate 118/100,C4H3O3,Succinate 117/99,C13,C4H5O4,M+1,Succinate
Succinate 119/101,C4H3O3,Succinate 117/99,C13,C4H5O4,M+2,Succinate
Succinate 120/102,C4H3O3,Succinate 117/99,C13,C4H5O4,M+3,Succinate
Succinate 121/103,C4H3O3,Succinate 117/99,C13,C4H5O4,M+4,Succinate
Succinate 117/73,C3H5O2,Succinate 117/73,C13,C4H5O4,M+0,Succinate
Succinate 118/73,C3H5O2,Succinate 117/73,C13,C4H5O4,M+1,Succinate
Succinate 118/74,C3H5O2,Succinate 117/73,C13,C4H5O4,M+1,Succinate
Succinate 119/74,C3H5O2,Succinate 117/73,C13,C4H5O4,M+2,Succinate
Succinate 119/75,C3H5O2,Succinate 117/73,C13,C4H5O4,M+2,Succinate
Succinate 120/75,C3H5O2,Succinate 117/73,C13,C4H5O4,M+3,Succinate
Succinate 120/76,C3H5O2,Succinate 117/73,C13,C4H5O4,M+3,Succinate
Succinate 121/76,C3H5O2,Succinate 117/73,C13,C4H5O4,M+4,Succinate
Malate 133/115,C4H3O4,Malate 133/115,C13,C4H5O5,M+0,Malate
Malate 134/116,C4H3O4,Malate 133/115,C13,C4H5O5,M+1,Malate
Malate 135/117,C4H3O4,Malate 133/115,C13,C4H5O5,M+2,Malate
Malate 136/118,C4H3O4,Malate 133/115,C13,C4H5O5,M+3,Malate
Malate 137/119,C4H3O4,Malate 133/115,C13,C4H5O5,M+4,Malate
Glutamate 146/41,C2HO,Glutamate 146/41,C13,C5H8NO4,M+0,Glutamate
Glutamate 147/41,C2HO,Glutamate 146/41,C13,C5H8NO4,M+1,Glutamate
Glutamate 147/42,C2HO,Glutamate 146/41,C13,C5H8NO4,M+1,Glutamate
Glutamate 148/41,C2HO,Glutamate 146/41,C13,C5H8NO4,M+2,Glutamate
Glutamate 148/42,C2HO,Glutamate 146/41,C13,C5H8NO4,M+2,Glutamate
Glutamate 148/43,C2HO,Glutamate 146/41,C13,C5H8NO4,M+2,Glutamate
Glutamate 149/41,C2HO,Glutamate 146/41,C13,C5H8NO4,M+3,Glutamate
Glutamate 149/42,C2HO,Glutamate 146/41,C13,C5H8NO4,M+3,Glutamate
Glutamate 149/43,C2HO,Glutamate 146/41,C13,C5H8NO4,M+3,Glutamate
Glutamate 150/42,C2HO,Glutamate 146/41,C13,C5H8NO4,M+4,Glutamate
Glutamate 150/43,C2HO,Glutamate 146/41,C13,C5H8NO4,M+4,Glutamate
Glutamate 151/43,C2HO,Glutamate 146/41,C13,C5H8NO4,M+5,Glutamate
Glutamate 146/128,C5H6NO3,Glutamate 146/128,C13,C5H8NO4,M+0,Glutamate
Glutamate 147/129,C5H6NO3,Glutamate 146/128,C13,C5H8NO4,M+1,Glutamate
Glutamate 148/130,C5H6NO3,Glutamate 146/128,C13,C5H8NO4,M+2,Glutamate
Glutamate 149/131,C5H6NO3,Glutamate 146/128,C13,C5H8NO4,M+3,Glutamate
Glutamate 150/132,C5H6NO3,Glutamate 146/128,C13,C5H8NO4,M+4,Glutamate
Glutamate 151/133,C5H6NO3,Glutamate 146/128,C13,C5H8NO4,M+5,Glutamate
Pyruvate 87/87,C3H3O3,Pyruvate 87/87,C13,C3H3O3,M+0,Pyruvate
Pyruvate 88/88,C3H3O3,Pyruvate 87/87,C13,C3H3O3,M+1,Pyruvate
Pyruvate 89/89,C3H3O3,Pyruvate 87/87,C13,C3H3O3,M+2,Pyruvate
Pyruvate 90/90,C3H3O3,Pyruvate 87/87,C13,C3H3O3,M+3,Pyruvate
Lactate 89/89,C3H5O3,Lactate 89/89,C13,C3H5O3,M+0,Lactate
